@relation Dataset

@attribute AdministracaoSistema REAL
@attribute Compra REAL
@attribute Venda REAL
@attribute Transferencia REAL
@attribute Estoque REAL
@attribute Financeiro REAL
@attribute Fiscal REAL
@attribute Relatorio REAL
@attribute SNGPC REAL
@attribute Integracao REAL
@attribute Client REAL
@attribute Crediario REAL
@attribute Ecommerce REAL
@attribute PBM REAL
@attribute Servidor REAL
@attribute Geral REAL
@attribute Pontuacao REAL
@attribute Classificação {verde,amarelo,vermelho}

@DATA
8,77,6,8,80,10,80,3,5,6,4,80,8,7,5,5,392,amarelo
5,4,5,5,6,8,3,9,1,3,80,5,7,80,99,79,399,vermelho
4,6,1,6,7,8,4,7,7,8,81,4,4,104,81,99,431,vermelho
2,5,7,7,8,7,4,3,9,7,99,6,4,105,102,77,452,vermelho
1,3,10,5,8,6,6,6,4,5,104,4,3,106,103,80,454,vermelho
7,6,10,9,8,3,6,9,1,8,79,4,3,107,104,81,445,vermelho
4,2,9,8,3,7,6,9,4,2,77,8,7,99,105,102,452,vermelho
4,10,7,7,1,3,4,4,3,10,76,2,1,79,99,103,413,vermelho
9,7,3,9,3,1,9,2,8,1,81,8,3,77,79,104,404,vermelho
1,4,6,8,7,1,3,3,8,5,102,8,10,76,77,81,400,vermelho
6,1,4,9,2,9,2,9,10,3,103,9,10,80,76,99,432,vermelho
5,3,8,7,3,1,5,10,3,9,80,4,8,103,81,79,409,vermelho
3,2,8,5,1,3,2,1,4,8,88,10,2,104,80,77,398,vermelho
3,3,4,1,2,9,1,1,2,1,77,5,7,80,102,80,378,vermelho
2,10,10,5,2,10,9,1,6,3,79,8,7,81,103,102,438,vermelho
5,5,7,8,10,3,8,1,8,10,104,5,7,102,104,103,490,vermelho
7,2,6,1,1,8,9,7,10,6,105,9,9,103,105,104,492,vermelho
79,4,4,80,8,9,8,2,4,80,3,8,99,9,10,10,417,verde
4,3,8,90,6,3,8,80,1,60,5,2,80,1,7,9,367,verde
60,9,4,102,9,2,5,1,8,88,2,1,88,1,6,9,395,verde
81,5,6,77,4,8,3,6,10,87,9,9,70,9,3,2,389,verde
5,6,6,88,7,9,8,99,2,84,6,2,77,10,6,5,420,verde
99,6,9,75,6,1,8,6,5,85,2,9,81,6,10,7,415,verde
5,1,1,76,10,8,2,103,2,99,8,4,77,10,6,6,418,verde
68,3,8,77,7,5,9,10,10,81,8,1,79,10,6,2,384,verde
6,10,8,74,1,5,5,107,9,82,9,3,76,3,10,10,418,verde
88,5,2,71,2,8,5,9,3,83,10,2,75,10,1,7,381,verde
2,7,5,99,1,4,10,99,8,84,9,1,94,1,10,3,437,verde
77,1,6,90,6,4,6,8,10,85,6,3,90,5,7,7,411,verde
8,80,90,10,80,81,2,5,2,3,1,80,2,1,2,3,450,amarelo
10,81,5,8,79,3,99,10,5,4,6,99,10,6,2,6,433,amarelo
5,7,99,2,88,99,1,3,2,9,3,79,3,5,2,4,411,amarelo
1,88,8,5,4,80,81,2,5,1,10,81,2,2,6,5,381,amarelo
6,5,103,6,88,77,7,8,5,3,6,78,1,4,2,1,400,amarelo
2,105,7,5,99,4,66,2,1,10,6,88,3,6,3,8,415,amarelo
10,1,109,9,7,81,80,4,8,9,2,102,1,7,3,2,435,amarelo
7,88,1,1,80,99,1,8,1,7,4,103,10,1,6,2,419,amarelo
10,9,99,5,88,5,99,8,2,6,5,80,1,4,4,3,428,amarelo
8,79,5,7,4,80,81,1,8,7,8,99,3,9,10,8,417,amarelo
10,6,77,4,77,88,10,8,6,8,8,79,7,8,2,7,405,amarelo
6,79,3,9,10,99,102,8,9,7,8,77,3,6,5,6,437,amarelo
3,10,99,7,102,80,1,4,1,6,10,76,9,10,1,3,422,amarelo
7,81,4,10,3,99,88,5,10,3,3,75,8,2,2,2,402,amarelo
5,5,80,6,107,80,5,4,10,7,3,81,9,2,7,6,417,amarelo
9,77,5,3,80,9,80,1,5,4,6,80,8,9,10,9,395,amarelo
1,2,4,8,4,3,1,10,9,2,80,6,9,80,99,79,397,vermelho
8,1,9,9,10,3,5,7,5,2,81,10,5,104,81,99,439,vermelho
10,9,10,8,5,5,2,7,6,10,99,9,8,105,102,77,472,vermelho
7,6,1,6,4,2,9,5,2,1,104,5,6,106,103,80,447,vermelho
3,7,2,2,4,6,8,7,6,2,79,9,2,107,104,81,429,vermelho
10,4,7,3,2,6,3,3,10,8,77,8,3,99,105,102,450,vermelho
10,10,10,7,2,9,9,5,3,8,76,1,1,79,99,103,432,vermelho
2,2,3,9,7,8,4,3,2,7,81,1,1,77,79,104,390,vermelho
3,8,3,7,4,4,3,5,3,2,102,3,1,76,77,81,382,vermelho
4,10,5,8,1,6,3,7,7,8,103,10,10,80,76,99,437,vermelho
8,8,9,10,10,9,6,1,10,9,80,4,2,103,81,79,429,vermelho
4,2,5,7,5,5,8,8,10,5,88,7,4,104,80,77,419,vermelho
6,6,4,1,5,8,10,9,4,10,77,2,10,80,102,80,414,vermelho
9,5,3,3,4,4,7,2,4,10,79,2,10,81,103,102,428,vermelho
4,3,5,2,6,3,8,2,4,2,104,10,1,102,104,103,463,vermelho
8,10,8,9,8,2,6,10,10,6,105,3,7,103,105,104,504,vermelho
59,10,4,60,7,7,6,3,10,60,1,9,99,9,1,3,348,verde
8,7,7,90,2,5,10,60,2,60,2,5,60,3,5,8,334,verde
60,4,4,62,2,4,9,5,8,68,7,3,68,6,9,4,323,verde
61,2,9,57,4,9,7,6,5,67,5,8,70,3,5,2,320,verde
3,3,10,68,7,5,1,99,5,84,6,6,57,3,2,1,360,verde
99,1,7,55,10,6,3,5,8,85,6,9,61,9,5,9,378,verde
2,6,2,56,3,8,3,63,2,99,4,7,57,7,7,9,335,verde
68,9,3,57,7,1,5,1,7,61,8,4,59,6,2,8,306,verde
6,1,4,54,6,2,10,67,10,62,4,7,56,1,6,8,304,verde
68,3,9,71,3,2,6,5,7,63,7,2,55,6,6,5,318,verde
1,10,5,99,10,4,6,99,3,84,5,4,54,7,2,1,394,verde
57,10,5,90,8,7,7,5,1,85,4,7,90,5,2,2,385,verde
3,60,90,5,60,61,1,2,1,4,6,60,9,8,1,6,377,amarelo
1,61,5,8,59,7,99,7,3,7,7,99,6,6,5,7,387,amarelo
5,10,99,5,68,99,7,9,10,8,1,59,6,10,10,8,414,amarelo
4,68,7,2,4,60,61,10,10,1,2,61,5,3,9,2,309,amarelo
2,5,63,4,68,57,6,8,5,6,8,58,5,9,3,4,311,amarelo
2,85,6,5,99,3,66,4,2,3,10,68,3,3,10,4,373,amarelo
8,6,109,3,7,61,60,9,4,3,9,62,9,2,2,8,362,amarelo
1,68,9,10,60,99,10,6,4,4,9,63,8,6,6,3,366,amarelo
9,4,99,10,68,1,99,3,9,1,10,60,3,6,7,7,396,amarelo
2,59,10,5,2,60,61,7,9,8,1,99,8,3,2,5,341,amarelo
8,4,57,6,57,68,1,10,5,1,4,59,1,3,7,4,295,amarelo
2,59,4,5,2,99,62,8,8,9,9,57,4,10,7,4,349,amarelo
2,10,99,6,62,60,10,3,10,5,9,56,10,5,8,6,361,amarelo
2,61,5,4,8,99,68,6,9,4,6,55,10,7,8,9,361,amarelo
4,2,60,4,67,60,10,7,4,6,2,61,1,6,9,6,309,amarelo
9,57,3,9,60,7,60,3,2,6,3,60,1,6,8,5,299,amarelo
8,9,3,1,8,4,10,5,6,3,60,9,8,60,99,59,352,vermelho
9,9,8,6,2,7,6,7,5,6,61,5,10,84,61,99,385,vermelho
4,5,2,4,5,9,3,7,4,6,99,8,6,85,62,57,366,vermelho
2,6,2,8,9,4,6,7,5,7,84,7,10,86,63,60,366,vermelho
2,7,8,10,5,4,6,8,4,10,59,6,10,67,84,61,351,vermelho
6,3,2,3,2,8,1,3,9,8,57,9,4,99,85,62,361,vermelho
4,2,6,5,9,8,7,9,7,8,56,4,6,59,99,63,352,vermelho
7,4,7,10,6,9,2,10,8,5,61,1,10,57,59,84,340,vermelho
2,2,10,2,2,9,9,7,4,4,62,2,3,56,57,61,292,vermelho
5,6,6,2,5,8,7,4,3,3,63,5,3,60,56,99,335,vermelho
8,8,6,1,4,7,6,3,8,6,60,6,10,63,61,59,316,vermelho
4,5,2,9,10,9,3,4,4,8,68,10,10,84,60,57,347,vermelho
3,6,2,4,8,8,7,6,7,6,57,1,2,60,62,60,299,vermelho
6,4,6,7,1,10,5,5,10,9,59,7,10,61,63,62,325,vermelho
4,3,9,3,2,7,6,2,3,2,84,1,8,62,84,63,343,vermelho
10,9,6,4,8,5,6,8,7,1,85,2,4,63,85,84,387,vermelho
59,1,4,60,7,5,2,5,3,60,4,10,99,9,8,10,346,verde
5,5,7,90,7,2,5,60,4,60,10,7,60,2,2,5,331,verde
60,9,2,62,5,10,4,7,5,68,2,3,68,8,6,1,320,verde
61,5,10,57,1,10,3,2,10,67,9,7,70,1,3,6,322,verde
10,1,5,68,7,7,8,99,4,84,5,1,57,10,6,7,379,verde
99,4,7,55,10,6,4,3,6,85,4,3,61,9,2,6,364,verde
5,4,7,56,4,9,8,63,1,99,10,10,57,4,5,10,352,verde
68,1,4,57,7,5,2,1,3,61,4,5,59,4,4,2,287,verde
4,2,9,54,7,5,5,67,2,62,4,5,56,9,3,9,303,verde
68,7,9,71,7,3,7,1,8,63,9,4,55,1,7,2,322,verde
3,8,4,99,4,5,5,99,2,84,10,5,54,4,2,1,389,verde
57,6,4,90,6,9,5,1,10,85,7,6,90,4,9,7,396,verde
3,60,90,8,60,61,3,4,6,2,4,60,3,3,4,1,372,amarelo
1,61,8,2,59,8,99,7,3,6,8,99,4,2,3,6,376,amarelo
9,3,99,7,68,99,8,1,7,4,5,59,8,3,3,1,384,amarelo
8,68,7,2,3,60,61,5,4,7,1,61,4,1,9,9,310,amarelo
5,7,63,7,68,57,8,2,3,4,5,58,1,4,1,10,303,amarelo
2,85,10,7,99,6,66,1,9,10,1,68,8,2,10,8,392,amarelo
2,9,109,1,10,61,60,10,10,2,3,62,5,9,4,7,364,amarelo
2,68,3,9,60,99,5,1,10,9,10,63,7,7,8,7,368,amarelo
9,9,99,8,68,8,99,3,2,8,3,60,6,10,8,5,405,amarelo
8,59,3,10,10,60,61,4,8,6,2,99,1,7,3,8,349,amarelo
9,9,57,8,57,68,4,5,10,7,8,59,9,7,7,1,325,amarelo
7,59,4,6,2,99,62,7,6,6,7,57,7,9,6,4,348,amarelo
1,10,99,2,62,60,2,4,9,6,9,56,6,10,1,2,339,amarelo
5,61,6,6,9,99,68,4,6,4,5,55,4,9,2,7,350,amarelo
6,5,60,1,67,60,8,1,4,5,7,61,4,3,9,9,310,amarelo
2,57,3,10,60,1,60,9,1,2,10,60,9,10,8,1,303,amarelo
10,4,2,2,5,2,2,7,10,8,60,2,3,60,99,59,335,vermelho
5,9,9,8,4,2,7,9,2,4,61,1,4,84,61,99,369,vermelho
2,7,5,6,10,10,6,3,7,1,99,7,4,85,62,57,371,vermelho
2,10,6,10,7,9,4,10,8,8,84,5,2,86,63,60,374,vermelho
2,4,3,10,6,7,7,5,5,10,59,3,1,67,84,61,334,vermelho
10,10,4,3,2,1,3,5,3,4,57,1,10,99,85,62,359,vermelho
7,1,6,7,7,4,10,3,8,1,56,8,5,59,99,63,344,vermelho
7,9,5,3,2,7,1,4,9,2,61,5,5,57,59,84,320,vermelho
10,8,8,7,5,3,6,6,5,10,62,9,5,56,57,61,318,vermelho
8,1,4,8,7,10,6,1,5,9,63,10,1,60,56,99,348,vermelho
3,6,3,4,3,4,6,1,9,1,60,2,4,63,61,59,289,vermelho
7,1,4,5,5,9,10,3,10,8,68,8,6,84,60,57,345,vermelho
3,1,10,8,4,9,7,7,8,7,57,10,6,60,62,60,319,vermelho
6,6,9,1,8,5,10,5,1,7,59,8,5,61,63,62,316,vermelho
2,4,2,7,3,10,3,8,1,4,84,2,6,62,84,63,345,vermelho
6,1,10,4,4,7,9,9,1,4,85,5,6,63,85,84,383,vermelho
79,2,4,80,10,9,4,5,7,80,5,3,99,8,8,5,408,verde
9,6,10,90,9,1,7,80,5,60,1,1,80,4,7,4,374,verde
60,3,6,102,6,10,8,1,6,88,1,6,88,6,3,10,404,verde
81,6,8,77,2,7,8,4,1,87,3,3,70,5,2,10,374,verde
4,1,9,88,5,10,8,99,10,84,1,5,77,1,5,3,410,verde
99,5,5,75,3,8,2,7,10,85,4,3,81,10,2,9,408,verde
8,2,5,76,10,7,9,103,1,99,3,9,77,5,7,6,427,verde
68,7,10,77,8,2,2,3,3,81,7,4,79,7,2,1,361,verde
9,4,9,74,9,2,4,107,3,82,8,7,76,3,1,2,400,verde
88,10,1,71,6,1,5,10,7,83,7,3,75,7,4,5,383,verde
4,5,8,99,5,8,2,99,6,84,3,4,94,8,9,9,447,verde
77,9,10,90,1,7,4,9,2,85,4,7,90,2,8,2,407,verde
6,80,90,7,80,81,3,9,9,10,10,80,5,9,2,10,491,amarelo
5,81,7,3,79,8,99,8,10,5,2,99,5,7,2,3,423,amarelo
4,7,99,9,88,99,4,4,8,2,3,79,2,6,1,7,422,amarelo
8,88,8,3,10,80,81,8,3,6,7,81,2,5,5,9,404,amarelo
3,9,103,5,88,77,10,6,3,7,7,78,5,5,7,7,420,amarelo
3,105,1,9,99,10,66,3,5,2,5,88,7,2,1,10,416,amarelo
8,6,109,8,2,81,80,4,2,7,2,102,3,5,5,3,427,amarelo
8,88,9,7,80,99,7,9,2,5,8,103,5,8,9,10,457,amarelo
5,5,99,9,88,7,99,10,6,10,6,80,10,8,2,7,451,amarelo
3,79,10,2,6,80,81,1,4,4,8,99,7,1,9,9,403,amarelo
1,10,77,6,77,88,9,8,5,6,8,79,5,8,4,6,397,amarelo
3,79,4,9,10,99,102,3,7,10,8,77,5,5,8,9,438,amarelo
6,4,99,6,102,80,10,9,8,8,2,76,7,10,6,9,442,amarelo
2,81,10,3,6,99,88,6,7,1,10,75,6,7,9,1,411,amarelo
3,4,80,1,107,80,3,8,6,7,5,81,6,2,1,8,402,amarelo
6,77,9,3,80,4,80,10,5,6,1,80,9,7,9,7,393,amarelo
1,1,3,1,10,4,6,5,4,3,80,9,5,80,99,79,390,vermelho
7,3,3,7,7,5,8,3,10,1,81,2,3,104,81,99,424,vermelho
10,9,2,8,7,5,2,4,5,9,99,10,4,105,102,77,458,vermelho
6,1,5,6,5,10,1,9,7,10,104,4,7,106,103,80,464,vermelho
5,5,5,2,5,2,6,8,7,6,79,3,2,107,104,81,427,vermelho
7,9,8,1,6,9,8,9,9,4,77,1,8,99,105,102,462,vermelho
1,1,10,10,5,6,1,10,10,8,76,7,7,79,99,103,433,vermelho
5,10,8,3,2,3,1,10,3,9,81,7,2,77,79,104,404,vermelho
4,1,1,7,9,10,8,9,7,5,102,3,10,76,77,81,410,vermelho
1,1,2,7,3,7,10,9,2,4,103,10,2,80,76,99,416,vermelho
7,1,1,9,9,7,1,3,1,8,80,10,8,103,81,79,408,vermelho
1,10,1,1,8,8,2,6,1,2,88,2,7,104,80,77,398,vermelho
3,6,2,4,10,10,8,10,5,9,77,2,8,80,102,80,416,vermelho
1,6,4,8,1,2,7,8,5,6,79,3,8,81,103,102,424,vermelho
9,8,9,2,6,9,3,6,8,9,104,8,1,102,104,103,491,vermelho
3,10,10,3,7,3,1,5,3,8,105,3,2,103,105,104,475,vermelho
79,9,6,80,4,4,4,7,2,80,1,6,99,7,9,10,407,verde
2,7,6,90,10,10,8,80,6,60,7,1,80,10,3,3,383,verde
60,2,10,102,2,8,4,1,2,88,4,4,88,9,1,9,394,verde
81,10,7,77,1,1,9,8,1,87,5,6,70,4,2,3,372,verde
2,5,6,88,1,10,3,99,7,84,5,2,77,4,4,3,400,verde
99,7,9,75,6,1,9,6,6,85,9,9,81,1,4,10,417,verde
10,5,7,76,9,7,1,103,5,99,2,5,77,1,3,8,418,verde
68,8,4,77,8,4,8,7,2,81,4,1,79,10,10,5,376,verde
1,10,6,74,1,4,6,107,8,82,5,1,76,5,6,1,393,verde
88,10,10,71,8,1,10,6,7,83,1,1,75,10,5,7,393,verde
9,5,6,99,6,8,2,99,1,84,1,2,94,2,5,9,432,verde
77,3,9,90,2,9,3,9,9,85,2,5,90,7,2,4,406,verde
1,80,90,6,80,81,5,8,4,6,9,80,1,7,8,2,468,amarelo
5,81,5,7,79,6,99,7,2,10,8,99,6,5,9,8,436,amarelo
10,5,99,5,88,99,10,10,8,9,6,79,7,5,10,3,453,amarelo
2,88,4,2,5,80,81,1,6,4,6,81,7,2,8,6,383,amarelo
10,6,103,7,88,77,5,1,8,9,4,78,1,10,9,3,419,amarelo
4,105,1,9,99,4,66,3,4,8,5,88,6,3,3,6,414,amarelo
8,7,109,1,4,81,80,1,6,4,9,102,2,10,2,9,435,amarelo
4,88,10,2,80,99,8,9,6,4,7,103,5,6,9,4,444,amarelo
6,3,99,7,88,1,99,8,6,1,10,80,6,2,1,8,425,amarelo
4,79,9,6,9,80,81,4,5,1,9,99,2,2,3,1,394,amarelo
3,8,77,8,77,88,2,6,1,1,6,79,2,7,10,5,380,amarelo
1,79,3,5,1,99,102,6,4,6,2,77,1,8,3,2,399,amarelo
10,8,99,9,102,80,8,7,9,9,7,76,8,8,7,8,455,amarelo
9,81,8,3,6,99,88,4,7,10,6,75,5,8,9,4,422,amarelo
1,1,80,10,107,80,10,7,8,8,5,81,3,7,10,10,428,amarelo
4,77,8,10,80,10,80,8,7,7,4,80,2,5,7,2,391,amarelo
3,6,4,7,6,7,2,9,3,8,80,9,2,80,99,79,404,vermelho
3,1,2,5,4,2,7,9,1,3,81,9,6,104,81,99,417,vermelho
10,10,4,3,2,8,10,9,9,2,99,9,10,105,102,77,469,vermelho
10,4,3,1,1,4,4,5,10,8,104,4,9,106,103,80,456,vermelho
1,6,9,9,7,7,10,2,1,6,79,8,5,107,104,81,442,vermelho
6,8,4,2,10,6,6,4,3,9,77,3,10,99,105,102,454,vermelho
9,3,5,2,8,4,7,4,1,4,76,1,5,79,99,103,410,vermelho
4,3,7,7,4,10,10,9,7,9,81,3,9,77,79,104,423,vermelho
5,7,5,7,9,4,4,5,3,7,102,2,10,76,77,81,404,vermelho
3,1,9,7,10,3,8,8,10,4,103,2,4,80,76,99,427,vermelho
10,1,5,4,1,7,2,5,5,5,80,8,9,103,81,79,405,vermelho
9,9,10,8,3,3,1,4,4,9,88,2,3,104,80,77,414,vermelho
4,3,2,4,10,3,8,8,4,2,77,4,5,80,102,80,396,vermelho
1,10,8,6,9,8,10,4,3,10,79,9,6,81,103,102,449,vermelho
5,1,1,9,7,1,3,10,5,6,104,10,6,102,104,103,477,vermelho
6,3,8,7,6,6,9,10,7,5,105,7,10,103,105,104,501,vermelho
59,3,1,60,2,6,10,2,4,60,8,6,99,5,6,1,332,verde
5,9,5,90,2,5,5,60,5,60,3,8,60,9,7,5,338,verde
60,7,10,62,2,8,10,5,6,68,7,3,68,6,1,1,324,verde
61,9,2,57,9,10,6,6,8,67,10,3,70,4,9,5,336,verde
3,9,9,68,5,4,4,99,8,84,10,1,57,2,10,7,380,verde
99,7,10,55,9,2,4,6,9,85,3,2,61,6,1,4,363,verde
3,1,9,56,10,9,10,63,9,99,1,2,57,3,10,5,347,verde
68,6,8,57,5,2,7,4,9,61,3,2,59,2,2,3,298,verde
10,2,5,54,4,1,9,67,9,62,10,9,56,7,4,8,317,verde
68,9,7,71,5,5,7,2,9,63,6,9,55,6,3,3,328,verde
9,2,8,99,8,8,3,99,5,84,8,9,54,2,8,5,411,verde
57,10,6,90,2,1,10,5,7,85,2,4,90,9,5,5,388,verde
5,60,90,6,60,61,3,2,8,1,1,60,4,9,5,6,381,amarelo
7,61,5,5,59,1,99,6,6,1,8,99,1,8,3,5,374,amarelo
8,5,99,4,68,99,6,3,2,2,1,59,6,2,5,7,376,amarelo
9,68,2,3,1,60,61,10,3,2,9,61,1,5,2,2,299,amarelo
2,7,63,5,68,57,1,4,2,9,1,58,2,1,6,9,295,amarelo
3,85,10,10,99,8,66,1,4,2,1,68,6,9,2,2,376,amarelo
2,2,109,1,6,61,60,6,6,4,9,62,2,1,10,9,350,amarelo
7,68,3,3,60,99,1,3,4,10,10,63,3,6,3,9,352,amarelo
4,2,99,4,68,9,99,10,4,1,2,60,4,10,3,7,386,amarelo
5,59,1,1,3,60,61,10,3,5,5,99,1,7,3,1,324,amarelo
4,8,57,5,57,68,1,10,2,4,3,59,1,9,7,7,302,amarelo
4,59,6,7,1,99,62,10,8,10,5,57,9,10,3,8,358,amarelo
5,3,99,9,62,60,7,10,5,2,7,56,2,8,1,3,339,amarelo
3,61,2,7,7,99,68,6,7,4,9,55,9,6,10,9,362,amarelo
10,1,60,1,67,60,2,5,7,8,5,61,7,9,1,5,309,amarelo
10,57,2,6,60,2,60,1,6,10,6,60,9,10,1,5,305,amarelo
9,7,4,5,6,4,7,6,7,10,60,9,5,60,99,59,357,vermelho
3,5,3,7,8,1,1,6,5,4,61,2,8,84,61,99,358,vermelho
9,9,9,9,5,5,6,1,1,7,99,7,5,85,62,57,376,vermelho
6,6,3,5,8,3,4,2,6,4,84,9,4,86,63,60,353,vermelho
9,6,1,4,9,5,8,2,1,10,59,3,8,67,84,61,337,vermelho
6,9,2,7,6,6,6,3,7,4,57,6,2,99,85,62,367,vermelho
5,1,8,9,7,1,1,6,1,10,56,4,5,59,99,63,335,vermelho
1,5,9,2,1,1,2,6,6,1,61,3,8,57,59,84,306,vermelho
1,10,6,10,5,7,10,1,8,6,62,9,8,56,57,61,317,vermelho
9,5,7,9,1,8,2,6,10,1,63,2,9,60,56,99,347,vermelho
10,9,1,7,7,2,5,4,4,10,60,4,8,63,61,59,314,vermelho
6,1,3,8,6,10,1,10,1,10,68,4,8,84,60,57,337,vermelho
3,8,8,7,5,6,8,2,9,3,57,1,6,60,62,60,305,vermelho
5,8,10,7,7,9,1,3,9,7,59,9,2,61,63,62,322,vermelho
4,1,5,9,9,4,1,1,1,6,84,8,1,62,84,63,343,vermelho
5,5,9,6,10,6,5,7,9,2,85,7,9,63,85,84,397,vermelho
59,3,10,60,9,2,8,2,10,60,6,2,99,1,8,7,346,verde
10,10,10,90,10,1,4,60,8,60,3,6,60,7,7,5,351,verde
60,8,8,62,3,1,6,7,10,68,8,8,68,10,3,7,337,verde
61,8,2,57,1,10,1,5,9,67,6,6,70,9,6,2,320,verde
9,5,6,68,7,5,8,99,6,84,2,2,57,1,4,4,367,verde
99,8,8,55,7,1,6,5,9,85,3,1,61,4,6,7,365,verde
6,10,7,56,6,6,5,63,10,99,1,2,57,8,6,3,345,verde
68,7,8,57,7,9,8,5,3,61,10,4,59,8,1,6,321,verde
10,4,1,54,6,9,8,67,3,62,3,2,56,6,1,4,296,verde
68,3,5,71,6,2,4,6,8,63,8,10,55,1,1,4,315,verde
1,8,1,99,3,5,2,99,2,84,9,5,54,2,6,2,382,verde
57,2,2,90,3,8,1,3,9,85,5,8,90,4,9,9,385,verde
1,60,90,7,60,61,4,4,9,3,1,60,8,3,3,9,383,amarelo
2,61,9,2,59,9,99,10,6,8,5,99,3,9,8,7,396,amarelo
1,9,99,1,68,99,1,6,10,6,4,59,4,9,9,3,388,amarelo
7,68,9,8,6,60,61,4,3,9,8,61,7,8,8,1,328,amarelo
8,2,63,7,68,57,10,2,10,5,1,58,4,4,5,4,308,amarelo
4,85,6,4,99,3,66,8,4,3,5,68,5,7,4,7,378,amarelo
3,5,109,3,8,61,60,6,5,1,4,62,7,10,8,6,358,amarelo
9,68,2,8,60,99,1,1,2,2,2,63,3,10,1,8,339,amarelo
8,10,99,6,68,3,99,2,3,1,3,60,5,8,9,10,394,amarelo
5,59,1,2,3,60,61,9,1,1,9,99,9,3,6,3,331,amarelo
2,2,57,5,57,68,6,9,2,6,2,59,9,7,2,2,295,amarelo
6,59,1,3,4,99,62,9,8,1,4,57,6,2,6,10,337,amarelo
7,4,99,4,62,60,3,8,1,6,7,56,4,2,10,7,340,amarelo
10,61,5,3,8,99,68,1,1,2,5,55,3,9,10,4,344,amarelo
2,9,60,6,67,60,3,10,5,5,8,61,1,8,2,6,313,amarelo
2,57,5,8,60,9,60,9,4,8,10,60,5,3,2,1,303,amarelo
3,5,10,7,10,8,6,5,3,6,60,2,5,60,99,59,348,vermelho
2,10,4,1,4,7,9,9,7,9,61,2,7,84,61,99,376,vermelho
2,9,3,4,6,10,2,10,3,7,99,10,5,85,62,57,374,vermelho
10,9,6,6,7,4,5,7,4,8,84,3,8,86,63,60,370,vermelho
6,10,4,3,8,6,5,7,2,3,59,7,3,67,84,61,335,vermelho
1,9,5,8,3,4,2,8,2,3,57,2,7,99,85,62,357,vermelho
1,4,1,10,5,9,6,4,5,1,56,8,6,59,99,63,337,vermelho
4,9,10,5,9,4,6,9,9,10,61,3,10,57,59,84,349,vermelho
8,7,6,3,4,3,6,8,8,3,62,2,1,56,57,61,295,vermelho
9,8,8,5,2,7,8,3,1,2,63,5,10,60,56,99,346,vermelho
4,2,9,6,7,3,5,3,8,2,60,8,8,63,61,59,308,vermelho
5,3,1,4,7,10,9,3,9,2,68,7,6,84,60,57,335,vermelho
2,4,1,8,4,10,3,7,5,5,57,5,7,60,62,60,300,vermelho
7,1,1,4,6,2,2,6,10,3,59,5,9,61,63,62,301,vermelho
7,1,4,2,4,7,9,5,3,9,84,6,2,62,84,63,352,vermelho
