@relation Dataset

@attribute AdministracaoSistema REAL
@attribute Compra REAL
@attribute Venda REAL
@attribute Transferencia REAL
@attribute Estoque REAL
@attribute Financeiro REAL
@attribute Fiscal REAL
@attribute Relatorio REAL
@attribute SNGPC REAL
@attribute Integracao REAL
@attribute Client REAL
@attribute Crediario REAL
@attribute Ecommerce REAL
@attribute PBM REAL
@attribute Servidor REAL
@attribute Geral REAL
@attribute Pontuacao REAL
@attribute Classificação {verde,amarelo,vermelho}

@DATA
9,2,3,2,1,12,2,10,6,13,88,11,8,104,100,97,468,vermelho
3,9,14,13,6,1,6,10,14,1,97,10,11,100,102,100,497,vermelho
3,6,13,5,10,8,8,9,7,6,98,14,14,101,103,102,507,vermelho
3,9,8,13,6,9,10,5,14,9,104,2,14,102,104,103,515,vermelho
14,8,8,1,5,13,4,3,11,4,105,4,4,103,105,104,496,vermelho
98,3,14,100,7,1,6,1,6,80,11,14,99,11,6,9,466,verde
12,11,6,90,9,9,13,100,9,60,1,7,80,14,13,11,445,verde
60,3,7,102,12,8,5,14,1,88,4,4,88,1,12,9,418,verde
101,6,4,77,15,6,13,11,11,87,14,10,70,14,3,6,448,verde
15,9,9,88,12,5,14,99,5,84,12,15,77,14,10,9,477,verde
99,13,1,75,9,6,2,5,4,85,10,1,101,1,9,11,432,verde
4,2,3,76,6,12,4,103,3,99,6,4,97,7,1,11,438,verde
68,8,6,77,6,13,11,10,6,81,9,14,98,6,9,8,430,verde
1,15,6,74,3,14,2,107,14,82,15,15,96,13,11,15,483,verde
88,12,7,71,11,14,1,1,2,83,1,4,95,14,15,2,421,verde
6,13,10,99,7,8,15,99,7,84,13,11,94,9,12,2,489,verde
77,12,5,90,3,9,9,8,1,85,15,12,90,4,2,5,427,verde
12,100,90,3,100,101,1,6,1,12,15,100,12,1,14,15,583,amarelo
13,101,15,10,98,5,99,10,12,10,1,99,15,7,9,14,518,amarelo
3,9,99,15,88,99,10,6,7,11,2,98,14,1,8,1,471,amarelo
1,88,3,5,12,100,101,3,10,6,11,101,1,11,2,12,467,amarelo
9,12,103,6,88,77,2,11,7,2,1,78,3,10,12,1,422,amarelo
10,105,3,1,99,9,66,12,11,15,13,88,15,1,5,2,455,amarelo
13,10,109,4,13,101,100,15,8,1,5,102,1,9,2,6,499,amarelo
4,88,15,5,100,99,12,12,6,6,8,103,6,8,1,11,484,amarelo
9,14,99,11,88,4,99,11,12,1,15,100,8,15,8,6,500,amarelo
9,98,6,1,15,100,101,3,10,6,3,99,5,15,15,15,501,amarelo
7,11,97,7,77,88,10,4,14,11,3,98,11,12,14,6,470,amarelo
9,98,12,5,3,99,102,4,8,12,13,97,4,11,13,7,497,amarelo
5,6,99,6,102,100,5,1,3,7,12,96,9,2,13,11,477,amarelo
8,101,12,6,12,99,88,15,15,6,3,95,12,6,9,9,496,amarelo
11,11,100,13,107,100,14,4,3,15,6,101,14,5,9,9,522,amarelo
4,77,15,7,100,7,100,8,6,9,4,100,12,7,7,10,473,amarelo
15,6,4,12,1,10,5,9,7,4,100,14,4,100,99,98,488,vermelho
1,10,5,15,15,3,12,7,15,13,101,15,11,104,101,99,527,vermelho
3,3,8,7,14,6,5,5,10,1,99,1,4,105,102,97,470,vermelho
9,4,2,2,9,9,1,5,7,7,104,4,5,106,103,100,477,vermelho
5,12,8,14,3,11,4,14,8,1,98,12,2,107,104,101,504,vermelho
11,8,3,9,10,8,4,15,3,12,97,3,10,99,105,102,499,vermelho
7,14,10,1,13,3,15,14,11,3,96,3,6,98,99,103,496,vermelho
1,2,1,7,9,8,6,8,15,6,101,7,3,97,98,104,473,vermelho
4,13,12,4,10,14,14,8,5,6,102,15,3,96,97,101,504,vermelho
8,15,15,13,7,14,12,10,8,4,103,14,10,100,96,99,528,vermelho
4,11,4,3,6,9,8,6,12,15,80,12,15,103,101,98,487,vermelho
12,15,1,3,2,9,13,12,5,9,88,5,14,104,100,97,489,vermelho
10,2,4,11,2,15,4,3,9,3,97,6,12,100,102,100,480,vermelho
1,13,15,14,15,11,6,2,2,10,98,12,5,101,103,102,510,vermelho
14,10,10,14,15,3,7,3,7,9,104,1,11,102,104,103,517,vermelho
13,7,5,4,3,9,14,5,5,13,105,4,3,103,105,104,502,vermelho
98,13,10,100,7,10,10,1,10,80,15,3,99,13,10,10,489,verde
10,14,11,90,6,11,10,100,6,60,13,6,80,5,7,10,439,verde
60,8,5,102,10,10,1,1,12,88,1,11,88,1,2,5,405,verde
101,9,5,77,1,5,13,2,13,87,5,14,70,7,8,4,421,verde
10,15,1,88,6,14,9,99,3,84,6,11,77,6,12,7,448,verde
99,5,10,75,1,14,9,12,10,85,4,7,101,2,2,8,444,verde
15,2,14,76,3,8,8,103,2,99,3,7,97,4,5,12,458,verde
68,14,10,77,13,15,4,14,13,81,11,3,98,10,13,12,456,verde
6,1,2,74,13,11,5,107,7,82,11,4,96,6,15,5,445,verde
88,4,15,71,5,8,4,12,15,83,3,15,95,15,7,6,446,verde
10,10,4,99,10,15,1,99,7,84,14,15,94,10,7,1,480,verde
77,8,9,90,11,8,10,2,2,85,10,15,90,2,12,2,433,verde
12,100,90,3,100,101,8,10,11,12,5,100,8,7,4,6,577,amarelo
2,101,11,2,98,3,99,7,12,12,5,99,5,1,11,5,473,amarelo
2,6,99,14,88,99,3,14,11,11,8,98,6,13,3,11,486,amarelo
4,88,7,2,2,100,101,1,5,4,13,101,4,10,10,6,458,amarelo
12,11,103,8,88,77,6,1,7,10,14,78,2,9,9,8,443,amarelo
3,105,14,7,99,6,66,11,7,13,4,88,1,9,11,3,447,amarelo
14,8,109,8,2,101,100,12,4,1,8,102,6,10,9,9,503,amarelo
3,88,15,13,100,99,5,4,11,7,1,103,4,10,3,1,467,amarelo
15,15,99,8,88,3,99,4,7,13,9,100,4,11,10,3,488,amarelo
3,98,3,3,2,100,101,14,15,13,10,99,6,5,13,2,487,amarelo
1,12,97,15,77,88,15,7,8,2,6,98,3,8,1,13,451,amarelo
13,98,6,11,2,99,102,13,14,12,7,97,10,8,10,3,505,amarelo
11,7,99,7,102,100,15,15,2,1,11,96,3,15,1,12,497,amarelo
9,101,9,9,11,99,88,7,11,9,14,95,15,6,14,9,506,amarelo
5,5,100,15,107,100,5,9,11,4,5,101,6,3,13,6,495,amarelo
7,77,10,8,100,6,100,11,7,12,15,100,4,13,4,7,481,amarelo
14,5,2,12,4,3,13,2,1,4,100,4,13,100,99,98,474,vermelho
14,8,6,6,6,6,3,3,6,9,101,3,8,104,101,99,483,vermelho
14,14,13,6,11,4,13,2,3,15,99,7,4,105,102,97,509,vermelho
6,6,8,7,14,10,7,6,7,5,104,4,10,106,103,100,503,vermelho
14,9,4,14,6,13,14,9,9,5,98,14,9,107,104,101,530,vermelho
4,15,2,15,15,4,3,6,1,2,97,14,11,99,105,102,495,vermelho
4,11,8,6,4,11,1,11,2,10,96,4,8,98,99,103,476,vermelho
12,15,9,11,5,8,5,8,2,13,101,9,6,97,98,104,503,vermelho
5,2,14,11,14,6,1,13,3,11,102,8,10,96,97,101,494,vermelho
15,9,9,11,14,6,13,11,8,11,103,2,6,100,96,99,513,vermelho
3,7,13,5,5,5,4,13,7,14,80,2,5,103,101,98,465,vermelho
14,13,1,12,10,12,11,13,4,2,88,10,6,104,100,97,497,vermelho
9,9,14,7,5,6,2,7,8,1,97,3,10,100,102,100,480,vermelho
2,10,4,12,12,7,15,9,13,12,98,3,6,101,103,102,509,vermelho
10,2,6,12,6,6,10,15,14,11,104,1,5,102,104,103,511,vermelho
9,1,2,4,11,7,9,12,11,5,105,12,15,103,105,104,515,vermelho
