@relation Dataset

@attribute AdministracaoSistema REAL
@attribute Compra REAL
@attribute Venda REAL
@attribute Transferencia REAL
@attribute Estoque REAL
@attribute Financeiro REAL
@attribute Fiscal REAL
@attribute Relatorio REAL
@attribute SNGPC REAL
@attribute Integracao REAL
@attribute Client REAL
@attribute Crediario REAL
@attribute Ecommerce REAL
@attribute PBM REAL
@attribute Servidor REAL
@attribute Geral REAL
@attribute Pontuacao REAL
@attribute Classificação {verde,amarelo,vermelho}

@DATA
14,9,4,14,6,13,14,9,9,5,98,14,9,207,204,201,530,vermelho
4,15,2,15,15,4,3,6,1,2,97,14,11,99,205,202,495,vermelho
4,11,8,6,4,11,1,11,2,20,96,4,8,98,99,203,476,vermelho
12,15,9,11,5,8,5,8,2,13,201,9,6,97,98,204,503,vermelho
5,2,14,11,14,6,1,13,3,11,202,8,20,96,97,201,494,vermelho
15,9,9,11,14,6,13,11,8,11,203,2,6,200,96,99,513,vermelho
3,7,13,5,5,5,4,13,7,14,80,2,5,203,201,98,465,vermelho
14,13,1,12,20,12,11,13,4,2,88,20,6,204,200,97,497,vermelho
9,9,14,7,5,6,2,7,8,1,97,3,20,200,202,200,480,vermelho
2,20,4,12,12,7,15,9,13,12,98,3,6,201,203,202,509,vermelho
20,2,6,12,6,6,20,15,14,11,204,1,5,202,204,203,511,vermelho
9,1,2,4,11,7,9,12,11,5,205,12,15,203,205,204,515,vermelho
